index,ATR_mult,ATR_num,fast_MA,slow_MA,use_fast_SMA,use_slow_SMA,total_R
428,2.0,40,28,90,1,1,-5.018
429,3.0,40,28,90,1,1,-3.917
430,1.0,40,34,90,1,1,-6.245
431,0.6,40,34,90,1,1,-9.715
432,2.0,40,34,90,1,1,-2.115
433,3.0,40,34,90,1,1,-3.193
434,1.5,40,34,90,1,1,-2.563
435,0.6,40,43,90,1,1,-8.352
436,1.0,40,43,90,1,1,-5.428
437,1.5,40,43,90,1,1,-2.632
438,2.0,40,43,90,1,1,-2.19
439,3.0,40,43,90,1,1,-3.042
440,0.6,50,9,30,1,1,20.557
441,1.0,50,9,30,1,1,24.534
442,1.5,50,9,30,1,1,16.826
443,2.0,50,9,30,1,1,13.083
444,3.0,50,9,30,1,1,8.722
445,0.6,50,18,30,1,1,7.326
446,1.0,50,18,30,1,1,12.814
447,1.5,50,18,30,1,1,6.347
448,2.0,50,18,30,1,1,5.861
449,3.0,50,18,30,1,1,2.868
450,0.6,50,28,30,1,1,24.296
451,1.0,50,28,30,1,1,9.534
452,3.0,50,28,30,1,1,3.827
453,1.5,50,28,30,1,1,9.98
454,2.0,50,28,30,1,1,6.775
455,0.6,50,9,40,1,1,-2.748
456,1.0,50,9,40,1,1,9.928
457,1.5,50,9,40,1,1,8.329
458,2.0,50,9,40,1,1,6.084
459,3.0,50,9,40,1,1,4.313
460,0.6,50,18,40,1,1,19.708
461,1.0,50,18,40,1,1,14.464
462,1.5,50,18,40,1,1,11.524
463,2.0,50,18,40,1,1,7.77
464,3.0,50,18,40,1,1,4.745
465,0.6,50,28,40,1,1,-5.228
466,1.0,50,28,40,1,1,2.64
467,1.5,50,28,40,1,1,2.619
468,2.0,50,28,40,1,1,3.783
469,3.0,50,28,40,1,1,1.952
470,0.6,50,34,40,1,1,3.532
471,1.0,50,34,40,1,1,-2.076
472,1.5,50,34,40,1,1,0.434
473,3.0,50,34,40,1,1,2.229
474,2.0,50,34,40,1,1,-0.051
475,0.6,50,9,60,1,1,-7.281
476,1.0,50,9,60,1,1,-6.58
477,1.5,50,9,60,1,1,3.179
478,3.0,50,9,60,1,1,3.783
479,2.0,50,9,60,1,1,2.858
480,0.6,50,18,60,1,1,12.46
481,1.0,50,18,60,1,1,7.738
482,1.5,50,18,60,1,1,4.526
483,2.0,50,18,60,1,1,1.155
484,3.0,50,18,60,1,1,1.355
485,0.6,50,28,60,1,1,12.949
486,1.0,50,28,60,1,1,7.393
487,1.5,50,28,60,1,1,3.275
488,2.0,50,28,60,1,1,2.013
489,3.0,50,28,60,1,1,2.384
490,0.6,50,34,60,1,1,-3.875
491,2.0,50,34,60,1,1,-3.968
492,1.0,50,34,60,1,1,-5.05
493,1.5,50,34,60,1,1,-4.53
494,3.0,50,34,60,1,1,-2.504
495,0.6,50,43,60,1,1,14.871
496,1.0,50,43,60,1,1,11.933
497,1.5,50,43,60,1,1,5.96
498,2.0,50,43,60,1,1,3.586
499,3.0,50,43,60,1,1,2.753
500,0.6,50,9,70,1,1,14.646
501,1.0,50,9,70,1,1,11.147
502,1.5,50,9,70,1,1,6.716
503,2.0,50,9,70,1,1,4.478
504,3.0,50,9,70,1,1,2.306
505,0.6,50,18,70,1,1,17.712
506,1.0,50,18,70,1,1,8.88
507,1.5,50,18,70,1,1,5.958
508,3.0,50,18,70,1,1,1.063
509,2.0,50,18,70,1,1,1.895
510,0.6,50,28,70,1,1,7.244
511,1.5,50,28,70,1,1,0.993
512,1.0,50,28,70,1,1,2.491
513,2.0,50,28,70,1,1,-0.261
514,3.0,50,28,70,1,1,0.443
515,0.6,50,34,70,1,1,-10.876
516,1.0,50,34,70,1,1,-5.867
517,1.5,50,34,70,1,1,-5.834
518,2.0,50,34,70,1,1,-4.649
519,3.0,50,34,70,1,1,-1.167
520,1.0,50,43,70,1,1,13.527
521,0.6,50,43,70,1,1,25.681
522,1.5,50,43,70,1,1,8.481
523,2.0,50,43,70,1,1,5.843
524,3.0,50,43,70,1,1,2.635
525,0.6,50,9,90,1,1,-11.004
526,1.5,50,9,90,1,1,-5.413
527,1.0,50,9,90,1,1,-8.863
528,3.0,50,9,90,1,1,-3.702
529,2.0,50,9,90,1,1,-4.878
530,1.0,50,18,90,1,1,-6.139
531,0.6,50,18,90,1,1,-7.223
532,1.5,50,18,90,1,1,-4.907
533,2.0,50,18,90,1,1,-5.816
534,3.0,50,18,90,1,1,-4.262
535,0.6,50,28,90,1,1,-15.1
536,1.5,50,28,90,1,1,-6.018
537,1.0,50,28,90,1,1,-8.259
538,2.0,50,28,90,1,1,-4.958
539,3.0,50,28,90,1,1,-3.911
540,0.6,50,34,90,1,1,-9.66
541,1.0,50,34,90,1,1,-6.242
542,1.5,50,34,90,1,1,-3.621
543,2.0,50,34,90,1,1,-2.132
544,3.0,50,34,90,1,1,-3.19
545,0.6,50,43,90,1,1,-9.129
546,1.5,50,43,90,1,1,-2.628
547,1.0,50,43,90,1,1,-5.296
548,2.0,50,43,90,1,1,-2.179
549,3.0,50,43,90,1,1,-2.993
