index,ATR_mult,ATR_num,BB_std_dev,BB_window,total_R
461,1.5,50,1.8,14,-16.856
462,2.5,50,1.8,14,-11.493
463,3.0,50,1.8,14,-7.896
464,2.0,50,1.8,14,-15.577
465,1.0,50,2.4,14,-7.523
466,1.5,50,2.4,14,-3.483
467,2.0,50,2.4,14,-2.805
468,2.5,50,2.4,14,-0.172
469,3.0,50,2.4,14,-1.895
470,1.0,50,3.0,14,-2.602
471,1.5,50,3.0,14,-1.735
472,2.5,50,3.0,14,-1.041
473,2.0,50,3.0,14,-1.301
474,3.0,50,3.0,14,-1.386
475,1.0,50,1.0,18,-33.474
476,1.5,50,1.0,18,-29.581
477,2.0,50,1.0,18,-19.038
478,2.5,50,1.0,18,-13.651
479,3.0,50,1.0,18,-14.499
480,1.0,50,1.4,18,-36.633
481,1.5,50,1.4,18,-23.278
482,2.0,50,1.4,18,-14.641
483,2.5,50,1.4,18,-11.967
484,3.0,50,1.4,18,-13.816
485,1.0,50,1.8,18,-27.591
486,2.0,50,1.8,18,-22.832
487,1.5,50,1.8,18,-27.177
488,2.5,50,1.8,18,-17.043
489,3.0,50,1.8,18,-14.387
490,1.5,50,2.4,18,-10.313
491,1.0,50,2.4,18,-20.584
492,2.0,50,2.4,18,-10.687
493,2.5,50,2.4,18,-6.394
494,3.0,50,2.4,18,-6.829
495,1.0,50,3.0,18,-7.098
496,1.5,50,3.0,18,-5.639
497,2.0,50,3.0,18,-4.828
498,2.5,50,3.0,18,-4.69
499,3.0,50,3.0,18,-4.585
500,1.0,50,1.0,26,-28.283
501,1.5,50,1.0,26,-21.737
502,2.5,50,1.0,26,-13.293
503,2.0,50,1.0,26,-14.664
504,3.0,50,1.0,26,-11.175
505,1.0,50,1.4,26,-48.177
506,1.5,50,1.4,26,-32.877
507,2.0,50,1.4,26,-25.691
508,2.5,50,1.4,26,-15.351
509,3.0,50,1.4,26,-15.541
510,1.0,50,1.8,26,-32.617
511,2.0,50,1.8,26,-20.662
512,1.5,50,1.8,26,-22.171
513,2.5,50,1.8,26,-8.513
514,3.0,50,1.8,26,-8.848
515,1.5,50,2.4,26,-6.628
516,1.0,50,2.4,26,-16.121
517,2.0,50,2.4,26,-7.981
518,2.5,50,2.4,26,-8.348
519,3.0,50,2.4,26,-5.587
520,1.5,50,3.0,26,0.19
521,1.0,50,3.0,26,-6.02
522,2.0,50,3.0,26,0.142
523,2.5,50,3.0,26,0.114
524,3.0,50,3.0,26,-0.424
525,1.0,50,1.0,36,-21.421
526,1.5,50,1.0,36,-15.636
527,2.5,50,1.0,36,-9.551
528,2.0,50,1.0,36,-10.639
529,3.0,50,1.0,36,-9.123
530,1.0,50,1.4,36,-22.66
531,1.5,50,1.4,36,-12.423
532,2.0,50,1.4,36,-9.129
533,3.0,50,1.4,36,-9.195
534,2.5,50,1.4,36,-11.001
535,1.0,50,1.8,36,-22.189
536,1.5,50,1.8,36,-10.211
537,2.0,50,1.8,36,-5.566
538,2.5,50,1.8,36,-3.999
539,3.0,50,1.8,36,-5.884
540,1.0,50,2.4,36,8.781
541,1.5,50,2.4,36,5.567
542,2.0,50,2.4,36,1.452
543,3.0,50,2.4,36,-0.969
544,2.5,50,2.4,36,-0.649
545,1.0,50,3.0,36,-8.363
546,1.5,50,3.0,36,-6.809
547,2.0,50,3.0,36,-5.677
548,2.5,50,3.0,36,-3.697
549,3.0,50,3.0,36,-3.764
550,1.0,50,1.0,46,-23.588
551,1.5,50,1.0,46,-12.153
552,2.5,50,1.0,46,-6.732
553,2.0,50,1.0,46,-9.187
554,3.0,50,1.0,46,-7.539
555,1.0,50,1.4,46,-3.196
556,1.5,50,1.4,46,-2.033
557,2.5,50,1.4,46,-3.184
558,2.0,50,1.4,46,-5.725
559,3.0,50,1.4,46,1.943
560,1.0,50,1.8,46,-20.013
561,1.5,50,1.8,46,-6.166
562,2.0,50,1.8,46,-4.104
563,2.5,50,1.8,46,-4.506
564,3.0,50,1.8,46,-4.154
565,1.0,50,2.4,46,-2.809
566,1.5,50,2.4,46,-5.61
567,2.0,50,2.4,46,-6.774
568,2.5,50,2.4,46,-2.261
569,3.0,50,2.4,46,-3.639
570,1.0,50,3.0,46,-8.046
571,1.5,50,3.0,46,-7.986
572,2.0,50,3.0,46,-6.971
573,2.5,50,3.0,46,-6.282
574,3.0,50,3.0,46,-5.754
575,1.0,50,1.0,56,-1.881
576,2.0,50,1.0,56,-2.992
577,1.5,50,1.0,56,-2.875
578,2.5,50,1.0,56,2.679
579,3.0,50,1.0,56,0.076
580,1.0,50,1.4,56,3.812
581,1.5,50,1.4,56,2.831
582,2.0,50,1.4,56,-1.226
583,2.5,50,1.4,56,-0.205
584,3.0,50,1.4,56,-0.107
585,1.0,50,1.8,56,-22.236
586,1.5,50,1.8,56,-16.039
587,3.0,50,1.8,56,-5.638
588,2.0,50,1.8,56,-12.302
589,2.5,50,1.8,56,-4.707
590,1.0,50,2.4,56,10.746
591,1.5,50,2.4,56,9.486
592,2.0,50,2.4,56,4.546
593,2.5,50,2.4,56,2.292
594,3.0,50,2.4,56,1.091
595,1.5,50,3.0,56,-8.478
596,1.0,50,3.0,56,-8.618
597,2.5,50,3.0,56,-7.647
598,2.0,50,3.0,56,-8.235
599,3.0,50,3.0,56,-6.658
